time,S,label
12.0,0.610905212581012,Drama
13.0,0.6088250693840516,Drama
14.0,0.6064533316770624,Drama
15.0,0.6045178423206472,Drama
16.0,0.6036751129865574,Drama
17.0,0.6024546427050584,Drama
18.0,0.6016311672502941,Drama
19.0,0.6003840786596061,Drama
20.0,0.598853462780295,Drama
21.0,0.5978237972665739,Drama
22.0,0.5965070047615814,Drama
23.0,0.5953318530579534,Drama
24.0,0.5935845478288523,Drama
25.0,0.5925202994239595,Drama
26.0,0.5911095368062833,Drama
27.0,0.5899141686833186,Drama
28.0,0.5899141686833186,Drama
29.0,0.5892422846643169,Drama
30.0,0.5885214989950027,Drama
31.0,0.5885214989950027,Drama
32.0,0.5881125194960488,Drama
33.0,0.5881125194960488,Drama
34.0,0.5881125194960488,Drama
35.0,0.5876128487063327,Drama
36.0,0.5865103855755518,Drama
37.0,0.5865103855755518,Drama
38.0,0.5865103855755518,Drama
39.0,0.5857898568463434,Drama
40.0,0.5849818708369,Drama
41.0,0.5849818708369,Drama
42.0,0.583898571076091,Drama
43.0,0.583898571076091,Drama
44.0,0.583898571076091,Drama
45.0,0.583898571076091,Drama
46.0,0.583898571076091,Drama
47.0,0.583898571076091,Drama
0.0,1.0,Family
1.0,0.8531125421649804,Family
2.0,0.7774686412592554,Family
3.0,0.7352341846948914,Family
4.0,0.7047737654792147,Family
5.0,0.6832044265506401,Family
6.0,0.6678934773904449,Family
7.0,0.655347195455315,Family
8.0,0.6466725713742809,Family
9.0,0.6375122853716777,Family
10.0,0.6291878594473467,Family
11.0,0.6230265995624338,Family
12.0,0.6165095849226594,Family
13.0,0.6112020715046572,Family
14.0,0.6061112164259806,Family
15.0,0.6032325879574668,Family
16.0,0.5987641984170414,Family
17.0,0.5969241117593371,Family
18.0,0.5937844714608003,Family
19.0,0.5925317616053978,Family
20.0,0.5902684622868134,Family
21.0,0.5878212464398529,Family
22.0,0.5867753011614901,Family
23.0,0.585637036755745,Family
24.0,0.5837719506514273,Family
25.0,0.5811002254768214,Family
26.0,0.5796759602182997,Family
27.0,0.5789009923570451,Family
28.0,0.5764270564922716,Family
29.0,0.5764270564922716,Family
30.0,0.5754679432535157,Family
31.0,0.5713720860061597,Family
32.0,0.5702754025397372,Family
33.0,0.5667624123803551,Family
34.0,0.5642378582049415,Family
35.0,0.5628749648276352,Family
36.0,0.5613898066090929,Family
37.0,0.5580875136290392,Family
38.0,0.5580875136290392,Family
39.0,0.5539989604156398,Family
40.0,0.5516614120594556,Family
41.0,0.5489963810833233,Family
42.0,0.5458229915972922,Family
43.0,0.5458229915972922,Family
44.0,0.5458229915972922,Family
45.0,0.5458229915972922,Family
46.0,0.5458229915972922,Family
47.0,0.5458229915972922,Family
0.0,1.0,News
1.0,0.9323903818953324,News
2.0,0.8954583166369063,News
3.0,0.8670639323603934,News
4.0,0.8473057187453988,News
5.0,0.8296398852271544,News
6.0,0.8167652749660254,News
7.0,0.8079285563806127,News
8.0,0.7969768494332418,News
9.0,0.7886069593649115,News
10.0,0.7805332301185087,News
11.0,0.7764070632632569,News
12.0,0.7719942665664655,News
13.0,0.7653960249718801,News
14.0,0.7599371193883717,News
15.0,0.7545317089157348,News
16.0,0.7493542269240895,News
17.0,0.7407280271146535,News
18.0,0.7350766961175941,News
19.0,0.7332957713541352,News
20.0,0.7293691541045815,News
21.0,0.7234129100844253,News
22.0,0.7199377479863419,News
23.0,0.716887164308434,News
24.0,0.7142755535094962,News
25.0,0.7092555445992893,News
26.0,0.702999707381214,News
27.0,0.6996718981155042,News
28.0,0.6969808523535214,News
29.0,0.6940317091136615,News
30.0,0.6886095863862112,News
31.0,0.6826424322580809,News
32.0,0.6774014155037001,News
33.0,0.6700860654442652,News
34.0,0.6618540498982671,News
35.0,0.6618540498982671,News
36.0,0.6576783145676789,News
37.0,0.6527518852450744,News
38.0,0.6527518852450744,News
39.0,0.6496873224035479,News
40.0,0.6392645311350418,News
41.0,0.6350863315851397,News
42.0,0.6350863315851397,News
43.0,0.629037890331948,News
44.0,0.629037890331948,News
45.0,0.629037890331948,News
46.0,0.629037890331948,News
47.0,0.629037890331948,News
0.0,1.0,Reality-TV
1.0,0.9114873435173436,Reality-TV
2.0,0.8755866861654148,Reality-TV
3.0,0.8567323301473141,Reality-TV
4.0,0.8466636223101169,Reality-TV
5.0,0.8379511456606273,Reality-TV
6.0,0.831849908091571,Reality-TV
7.0,0.8268167128280915,Reality-TV
8.0,0.8229710536986585,Reality-TV
9.0,0.8199720166326625,Reality-TV
10.0,0.8169016791025612,Reality-TV
11.0,0.8145521122388854,Reality-TV
12.0,0.8116395301927388,Reality-TV
13.0,0.8086618170316536,Reality-TV
14.0,0.8056249063897656,Reality-TV
15.0,0.8033955041330897,Reality-TV
16.0,0.8004740659362427,Reality-TV
17.0,0.7981326427086414,Reality-TV
18.0,0.7959278564028165,Reality-TV
19.0,0.7926015907342676,Reality-TV
20.0,0.7900509822363291,Reality-TV
21.0,0.7873908779190354,Reality-TV
22.0,0.7824619835345659,Reality-TV
23.0,0.7774246746276913,Reality-TV
24.0,0.7711041488177098,Reality-TV
25.0,0.7683403346642415,Reality-TV
26.0,0.7609524468309316,Reality-TV
27.0,0.7476024039040727,Reality-TV
28.0,0.7476024039040727,Reality-TV
29.0,0.7476024039040727,Reality-TV
30.0,0.7476024039040727,Reality-TV
31.0,0.7388070815052009,Reality-TV
32.0,0.7388070815052009,Reality-TV
33.0,0.7388070815052009,Reality-TV
34.0,0.7388070815052009,Reality-TV
35.0,0.7388070815052009,Reality-TV
36.0,0.7203369044675708,Reality-TV
37.0,0.7203369044675708,Reality-TV
38.0,0.7203369044675708,Reality-TV
39.0,0.7203369044675708,Reality-TV
40.0,0.7203369044675708,Reality-TV
41.0,0.7203369044675708,Reality-TV
42.0,0.7203369044675708,Reality-TV
43.0,0.7203369044675708,Reality-TV
44.0,0.7203369044675708,Reality-TV
45.0,0.7203369044675708,Reality-TV
46.0,0.7203369044675708,Reality-TV
47.0,0.4802246029783805,Reality-TV
0.0,1.0,Talk-Show
1.0,0.89131612204369,Talk-Show
2.0,0.8454069329588887,Talk-Show
3.0,0.8148585080277405,Talk-Show
4.0,0.7927199626377893,Talk-Show
5.0,0.7763826082600057,Talk-Show
6.0,0.7631872040446717,Talk-Show
7.0,0.7508972762861846,Talk-Show
8.0,0.7429170926819291,Talk-Show
9.0,0.7348985033720741,Talk-Show
10.0,0.7260470745030538,Talk-Show
11.0,0.720141121288705,Talk-Show
12.0,0.7139317633148897,Talk-Show
13.0,0.7076550864056749,Talk-Show
14.0,0.7025284777590097,Talk-Show
15.0,0.6949946603031493,Talk-Show
16.0,0.6890888593148496,Talk-Show
17.0,0.6827886183153996,Talk-Show
18.0,0.6763554921471172,Talk-Show
